Identifier,Status,Marker,Grade,Maximum Grade,Marking workflow state (Release grades and feedback),Grade can be changed,Last modified (submission),Last modified (grade),Feedback comments
Participant 12895812,Submitted for grading - 16 days 23 hours late - Not marked,Joel Solomons,58,100,Not marked,Yes,"Monday, 20 May 2024, 11:42 AM","Monday, 20 May 2024, 11:42 AM",
Participant 12895953,Submitted for grading - 16 days 23 hours late - Not marked,Anna Caunt,58,100,Not marked,Yes,"Monday, 20 May 2024, 11:39 AM","Monday, 20 May 2024, 11:36 AM",
Participant 12895872,Submitted for grading - 16 days 15 hours late - Marking completed,Dar'ya Klymenko,58,100,Marking completed,Yes,"Monday, 20 May 2024, 3:11 AM","Monday, 20 May 2024, 3:11 AM",
Participant 12895933,Submitted for grading - 16 days 13 hours late - Not marked,Joel Solomons,58,100,Not marked,Yes,"Monday, 20 May 2024, 1:29 AM","Monday, 20 May 2024, 1:29 AM",
Participant 12895777,Submitted for grading - 16 days 12 hours late - Not marked,Louise Crichton,58,100,Not marked,Yes,"Monday, 20 May 2024, 12:34 AM",-,
Participant 12895957,Submitted for grading - 16 days 11 hours late - Not marked,Spencer Talbot,65,100,Not marked,Yes,"Sunday, 19 May 2024, 11:27 PM","Sunday, 19 May 2024, 11:27 PM",
Participant 12895825,Submitted for grading - 16 days 10 hours late - Not marked,Shaun Dordoy,55,100,Not marked,Yes,"Sunday, 19 May 2024, 10:31 PM","Sunday, 19 May 2024, 10:31 PM",
Participant 12895964,Submitted for grading - 16 days 8 hours late - Not marked,Daniel Graham,58,100,Not marked,Yes,"Sunday, 19 May 2024, 8:27 PM","Sunday, 19 May 2024, 8:27 PM",
Participant 12895948,Submitted for grading - 15 days 3 hours late - Not marked,Despina Djama,58,100,Not marked,Yes,"Saturday, 18 May 2024, 3:36 PM","Saturday, 18 May 2024, 3:36 PM",
Participant 12895792,Submitted for grading - 10 days 11 hours late - Not marked,Louise Crichton,58,100,Not marked,Yes,"Monday, 13 May 2024, 11:51 PM","Monday, 13 May 2024, 11:51 PM",
Participant 12895891,Submitted for grading - 9 days 23 hours late - Not marked,Joel Solomons,68,100,Not marked,Yes,"Monday, 13 May 2024, 11:43 AM","Monday, 13 May 2024, 11:43 AM",
Participant 12895844,Submitted for grading - 9 days 23 hours late - Not marked,Ryan Statton,55,100,Not marked,Yes,"Monday, 13 May 2024, 11:32 AM","Monday, 13 May 2024, 11:32 AM",
Participant 12895746,Submitted for grading - 9 days 23 hours late - Not marked,Prahlad Saldanha,58,100,Not marked,Yes,"Monday, 13 May 2024, 11:25 AM","Monday, 13 May 2024, 11:25 AM",
